Alt,Direction,Endpoint,INPacketCountArgument,NominalBytesPerInterval,TotalLength,Category,FailedAt,DeviceSpeed,Win32Error,UsbdStatus,BytesTransferred,Result
6,IN,0x83,1,64,64,oversize,SUBMIT_TRANSFER,HIGH,0x000006F8,UNOBSERVED,0,REJECTED
6,IN,0x83,1,0,0,zero,SUBMIT_TRANSFER,HIGH,0x00000057,UNOBSERVED,0,REJECTED
6,IN,0x83,2,63,126,exact,NONE,HIGH,0,0x00000000,126,ACCEPTED
6,IN,0x83,2,31,62,sub,COMPLETION,HIGH,0x0000007A,UNOBSERVED,0,REJECTED
6,IN,0x83,2,64,128,oversize,SUBMIT_TRANSFER,HIGH,0x000006F8,UNOBSERVED,0,REJECTED
6,IN,0x83,2,0,0,zero,SUBMIT_TRANSFER,HIGH,0x00000057,UNOBSERVED,0,REJECTED
6,IN,0x83,4,63,252,exact,NONE,HIGH,0,0x00000000,252,ACCEPTED
6,IN,0x83,4,31,124,sub,COMPLETION,HIGH,0x0000007A,UNOBSERVED,0,REJECTED
6,IN,0x83,4,64,256,oversize,SUBMIT_TRANSFER,HIGH,0x000006F8,UNOBSERVED,0,REJECTED
6,IN,0x83,4,0,0,zero,SUBMIT_TRANSFER,HIGH,0x00000057,UNOBSERVED,0,REJECTED
6,IN,0x83,8,63,504,exact,NONE,HIGH,0,0x00000000,504,ACCEPTED
6,IN,0x83,8,31,248,sub,COMPLETION,HIGH,0x0000007A,UNOBSERVED,0,REJECTED
6,IN,0x83,8,64,512,oversize,SUBMIT_TRANSFER,HIGH,0x000006F8,UNOBSERVED,0,REJECTED
6,IN,0x83,8,0,0,zero,SUBMIT_TRANSFER,HIGH,0x00000057,UNOBSERVED,0,REJECTED
6,IN,0x83,10,63,630,exact,NONE,HIGH,0,0x00000000,630,ACCEPTED
6,IN,0x83,10,31,310,sub,COMPLETION,HIGH,0x0000007A,UNOBSERVED,0,REJECTED
6,IN,0x83,10,64,640,oversize,SUBMIT_TRANSFER,HIGH,0x000006F8,UNOBSERVED,0,REJECTED
6,IN,0x83,10,0,0,zero,SUBMIT_TRANSFER,HIGH,0x00000057,UNOBSERVED,0,REJECTED
6,IN,0x83,16,63,1008,exact,NONE,HIGH,0,0x00000000,1008,ACCEPTED
6,IN,0x83,16,31,496,sub,COMPLETION,HIGH,0x0000007A,UNOBSERVED,0,REJECTED
6,IN,0x83,16,64,1024,oversize,SUBMIT_TRANSFER,HIGH,0x000006F8,UNOBSERVED,0,REJECTED
6,IN,0x83,16,0,0,zero,SUBMIT_TRANSFER,HIGH,0x00000057,UNOBSERVED,0,REJECTED
6,IN,0x83,20,63,1260,exact,NONE,HIGH,0,0x00000000,1260,ACCEPTED
6,IN,0x83,20,31,620,sub,COMPLETION,HIGH,0x0000007A,UNOBSERVED,0,REJECTED
6,IN,0x83,20,64,1280,oversize,SUBMIT_TRANSFER,HIGH,0x000006F8,UNOBSERVED,0,REJECTED
6,IN,0x83,20,0,0,zero,SUBMIT_TRANSFER,HIGH,0x00000057,UNOBSERVED,0,REJECTED
6,IN,0x83,32,63,2016,exact,NONE,HIGH,0,0x00000000,2016,ACCEPTED
6,IN,0x83,32,31,992,sub,COMPLETION,HIGH,0x0000007A,UNOBSERVED,0,REJECTED
6,IN,0x83,32,64,2048,oversize,SUBMIT_TRANSFER,HIGH,0x000006F8,UNOBSERVED,0,REJECTED
6,IN,0x83,32,0,0,zero,SUBMIT_TRANSFER,HIGH,0x00000057,UNOBSERVED,0,REJECTED
6,IN,0x83,64,63,4032,exact,NONE,HIGH,0,0x00000000,4032,ACCEPTED
6,IN,0x83,64,31,1984,sub,COMPLETION,HIGH,0x0000007A,UNOBSERVED,0,REJECTED
6,IN,0x83,64,64,4096,oversize,SUBMIT_TRANSFER,HIGH,0x000006F8,UNOBSERVED,0,REJECTED
6,IN,0x83,64,0,0,zero,SUBMIT_TRANSFER,HIGH,0x00000057,UNOBSERVED,0,REJECTED
# Harness build: Sep  8 2026 15:29:49
